,MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|SE3
0,01.01.2023 00:00 - 01.01.2023 01:00,2.01,EUR,
1,01.01.2023 01:00 - 01.01.2023 02:00,1.38,EUR,
2,01.01.2023 02:00 - 01.01.2023 03:00,0.09,EUR,
3,01.01.2023 03:00 - 01.01.2023 04:00,0.08,EUR,
4,01.01.2023 04:00 - 01.01.2023 05:00,0.05,EUR,
5,01.01.2023 05:00 - 01.01.2023 06:00,0.08,EUR,
6,01.01.2023 06:00 - 01.01.2023 07:00,0.09,EUR,
7,01.01.2023 07:00 - 01.01.2023 08:00,0.53,EUR,
8,01.01.2023 08:00 - 01.01.2023 09:00,2.03,EUR,
9,01.01.2023 09:00 - 01.01.2023 10:00,3.1,EUR,
10,01.01.2023 10:00 - 01.01.2023 11:00,4.43,EUR,
11,01.01.2023 11:00 - 01.01.2023 12:00,6.06,EUR,
12,01.01.2023 12:00 - 01.01.2023 13:00,6.06,EUR,
13,01.01.2023 13:00 - 01.01.2023 14:00,5.68,EUR,
14,01.01.2023 14:00 - 01.01.2023 15:00,17.71,EUR,
15,01.01.2023 15:00 - 01.01.2023 16:00,24.11,EUR,
16,01.01.2023 16:00 - 01.01.2023 17:00,36.54,EUR,
17,01.01.2023 17:00 - 01.01.2023 18:00,46.03,EUR,
18,01.01.2023 18:00 - 01.01.2023 19:00,54.23,EUR,
19,01.01.2023 19:00 - 01.01.2023 20:00,53.63,EUR,
20,01.01.2023 20:00 - 01.01.2023 21:00,48.05,EUR,
21,01.01.2023 21:00 - 01.01.2023 22:00,44.68,EUR,
22,01.01.2023 22:00 - 01.01.2023 23:00,45.96,EUR,
23,01.01.2023 23:00 - 02.01.2023 00:00,35.0,EUR,
24,02.01.2023 00:00 - 02.01.2023 01:00,57.91,EUR,
25,02.01.2023 01:00 - 02.01.2023 02:00,51.67,EUR,
26,02.01.2023 02:00 - 02.01.2023 03:00,52.86,EUR,
27,02.01.2023 03:00 - 02.01.2023 04:00,44.16,EUR,
28,02.01.2023 04:00 - 02.01.2023 05:00,50.08,EUR,
29,02.01.2023 05:00 - 02.01.2023 06:00,70.73,EUR,
30,02.01.2023 06:00 - 02.01.2023 07:00,102.56,EUR,
31,02.01.2023 07:00 - 02.01.2023 08:00,138.19,EUR,
32,02.01.2023 08:00 - 02.01.2023 09:00,145.98,EUR,
33,02.01.2023 09:00 - 02.01.2023 10:00,147.05,EUR,
34,02.01.2023 10:00 - 02.01.2023 11:00,145.61,EUR,
35,02.01.2023 11:00 - 02.01.2023 12:00,143.35,EUR,
36,02.01.2023 12:00 - 02.01.2023 13:00,144.38,EUR,
37,02.01.2023 13:00 - 02.01.2023 14:00,143.76,EUR,
38,02.01.2023 14:00 - 02.01.2023 15:00,148.2,EUR,
39,02.01.2023 15:00 - 02.01.2023 16:00,155.34,EUR,
40,02.01.2023 16:00 - 02.01.2023 17:00,162.89,EUR,
41,02.01.2023 17:00 - 02.01.2023 18:00,170.0,EUR,
42,02.01.2023 18:00 - 02.01.2023 19:00,174.74,EUR,
43,02.01.2023 19:00 - 02.01.2023 20:00,164.46,EUR,
44,02.01.2023 20:00 - 02.01.2023 21:00,153.0,EUR,
45,02.01.2023 21:00 - 02.01.2023 22:00,141.67,EUR,
46,02.01.2023 22:00 - 02.01.2023 23:00,131.67,EUR,
47,02.01.2023 23:00 - 03.01.2023 00:00,118.06,EUR,
48,03.01.2023 00:00 - 03.01.2023 01:00,78.81,EUR,
49,03.01.2023 01:00 - 03.01.2023 02:00,73.93,EUR,
50,03.01.2023 02:00 - 03.01.2023 03:00,73.94,EUR,
51,03.01.2023 03:00 - 03.01.2023 04:00,71.44,EUR,
52,03.01.2023 04:00 - 03.01.2023 05:00,72.33,EUR,
53,03.01.2023 05:00 - 03.01.2023 06:00,77.14,EUR,
54,03.01.2023 06:00 - 03.01.2023 07:00,102.48,EUR,
55,03.01.2023 07:00 - 03.01.2023 08:00,154.96,EUR,
56,03.01.2023 08:00 - 03.01.2023 09:00,163.92,EUR,
57,03.01.2023 09:00 - 03.01.2023 10:00,167.07,EUR,
58,03.01.2023 10:00 - 03.01.2023 11:00,168.57,EUR,
59,03.01.2023 11:00 - 03.01.2023 12:00,169.49,EUR,
60,03.01.2023 12:00 - 03.01.2023 13:00,164.5,EUR,
61,03.01.2023 13:00 - 03.01.2023 14:00,160.91,EUR,
62,03.01.2023 14:00 - 03.01.2023 15:00,163.06,EUR,
63,03.01.2023 15:00 - 03.01.2023 16:00,167.73,EUR,
64,03.01.2023 16:00 - 03.01.2023 17:00,166.61,EUR,
65,03.01.2023 17:00 - 03.01.2023 18:00,170.72,EUR,
66,03.01.2023 18:00 - 03.01.2023 19:00,168.93,EUR,
67,03.01.2023 19:00 - 03.01.2023 20:00,160.99,EUR,
68,03.01.2023 20:00 - 03.01.2023 21:00,149.62,EUR,
69,03.01.2023 21:00 - 03.01.2023 22:00,131.05,EUR,
70,03.01.2023 22:00 - 03.01.2023 23:00,114.27,EUR,
71,03.01.2023 23:00 - 04.01.2023 00:00,93.66,EUR,
72,04.01.2023 00:00 - 04.01.2023 01:00,82.88,EUR,
73,04.01.2023 01:00 - 04.01.2023 02:00,78.84,EUR,
74,04.01.2023 02:00 - 04.01.2023 03:00,69.93,EUR,
75,04.01.2023 03:00 - 04.01.2023 04:00,69.26,EUR,
76,04.01.2023 04:00 - 04.01.2023 05:00,71.75,EUR,
77,04.01.2023 05:00 - 04.01.2023 06:00,81.73,EUR,
78,04.01.2023 06:00 - 04.01.2023 07:00,80.11,EUR,
79,04.01.2023 07:00 - 04.01.2023 08:00,83.33,EUR,
80,04.01.2023 08:00 - 04.01.2023 09:00,86.27,EUR,
81,04.01.2023 09:00 - 04.01.2023 10:00,85.37,EUR,
82,04.01.2023 10:00 - 04.01.2023 11:00,75.95,EUR,
83,04.01.2023 11:00 - 04.01.2023 12:00,81.71,EUR,
84,04.01.2023 12:00 - 04.01.2023 13:00,80.89,EUR,
85,04.01.2023 13:00 - 04.01.2023 14:00,79.72,EUR,
86,04.01.2023 14:00 - 04.01.2023 15:00,80.22,EUR,
87,04.01.2023 15:00 - 04.01.2023 16:00,79.74,EUR,
88,04.01.2023 16:00 - 04.01.2023 17:00,80.82,EUR,
89,04.01.2023 17:00 - 04.01.2023 18:00,86.16,EUR,
90,04.01.2023 18:00 - 04.01.2023 19:00,72.28,EUR,
91,04.01.2023 19:00 - 04.01.2023 20:00,66.61,EUR,
92,04.01.2023 20:00 - 04.01.2023 21:00,62.13,EUR,
93,04.01.2023 21:00 - 04.01.2023 22:00,57.26,EUR,
94,04.01.2023 22:00 - 04.01.2023 23:00,37.94,EUR,
95,04.01.2023 23:00 - 05.01.2023 00:00,30.82,EUR,
96,05.01.2023 00:00 - 05.01.2023 01:00,30.03,EUR,
97,05.01.2023 01:00 - 05.01.2023 02:00,28.15,EUR,
98,05.01.2023 02:00 - 05.01.2023 03:00,27.68,EUR,
99,05.01.2023 03:00 - 05.01.2023 04:00,27.76,EUR,
100,05.01.2023 04:00 - 05.01.2023 05:00,28.63,EUR,
101,05.01.2023 05:00 - 05.01.2023 06:00,39.8,EUR,
102,05.01.2023 06:00 - 05.01.2023 07:00,62.7,EUR,
103,05.01.2023 07:00 - 05.01.2023 08:00,85.53,EUR,
104,05.01.2023 08:00 - 05.01.2023 09:00,93.54,EUR,
105,05.01.2023 09:00 - 05.01.2023 10:00,107.92,EUR,
106,05.01.2023 10:00 - 05.01.2023 11:00,128.75,EUR,
107,05.01.2023 11:00 - 05.01.2023 12:00,139.64,EUR,
108,05.01.2023 12:00 - 05.01.2023 13:00,139.99,EUR,
109,05.01.2023 13:00 - 05.01.2023 14:00,142.58,EUR,
110,05.01.2023 14:00 - 05.01.2023 15:00,149.4,EUR,
111,05.01.2023 15:00 - 05.01.2023 16:00,155.2,EUR,
112,05.01.2023 16:00 - 05.01.2023 17:00,168.59,EUR,
113,05.01.2023 17:00 - 05.01.2023 18:00,190.03,EUR,
114,05.01.2023 18:00 - 05.01.2023 19:00,190.0,EUR,
115,05.01.2023 19:00 - 05.01.2023 20:00,173.71,EUR,
116,05.01.2023 20:00 - 05.01.2023 21:00,160.05,EUR,
117,05.01.2023 21:00 - 05.01.2023 22:00,148.62,EUR,
118,05.01.2023 22:00 - 05.01.2023 23:00,141.17,EUR,
119,05.01.2023 23:00 - 06.01.2023 00:00,127.0,EUR,
120,06.01.2023 00:00 - 06.01.2023 01:00,107.21,EUR,
121,06.01.2023 01:00 - 06.01.2023 02:00,101.1,EUR,
122,06.01.2023 02:00 - 06.01.2023 03:00,96.73,EUR,
123,06.01.2023 03:00 - 06.01.2023 04:00,82.34,EUR,
124,06.01.2023 04:00 - 06.01.2023 05:00,81.93,EUR,
125,06.01.2023 05:00 - 06.01.2023 06:00,84.03,EUR,
126,06.01.2023 06:00 - 06.01.2023 07:00,97.25,EUR,
127,06.01.2023 07:00 - 06.01.2023 08:00,103.95,EUR,
128,06.01.2023 08:00 - 06.01.2023 09:00,108.51,EUR,
129,06.01.2023 09:00 - 06.01.2023 10:00,109.92,EUR,
130,06.01.2023 10:00 - 06.01.2023 11:00,110.14,EUR,
131,06.01.2023 11:00 - 06.01.2023 12:00,110.65,EUR,
132,06.01.2023 12:00 - 06.01.2023 13:00,109.91,EUR,
133,06.01.2023 13:00 - 06.01.2023 14:00,101.09,EUR,
134,06.01.2023 14:00 - 06.01.2023 15:00,113.06,EUR,
135,06.01.2023 15:00 - 06.01.2023 16:00,122.81,EUR,
136,06.01.2023 16:00 - 06.01.2023 17:00,135.62,EUR,
137,06.01.2023 17:00 - 06.01.2023 18:00,150.72,EUR,
138,06.01.2023 18:00 - 06.01.2023 19:00,142.11,EUR,
139,06.01.2023 19:00 - 06.01.2023 20:00,119.92,EUR,
140,06.01.2023 20:00 - 06.01.2023 21:00,107.22,EUR,
141,06.01.2023 21:00 - 06.01.2023 22:00,101.02,EUR,
142,06.01.2023 22:00 - 06.01.2023 23:00,74.25,EUR,
143,06.01.2023 23:00 - 07.01.2023 00:00,71.74,EUR,
144,07.01.2023 00:00 - 07.01.2023 01:00,71.67,EUR,
145,07.01.2023 01:00 - 07.01.2023 02:00,69.93,EUR,
146,07.01.2023 02:00 - 07.01.2023 03:00,69.94,EUR,
147,07.01.2023 03:00 - 07.01.2023 04:00,70.95,EUR,
148,07.01.2023 04:00 - 07.01.2023 05:00,73.83,EUR,
149,07.01.2023 05:00 - 07.01.2023 06:00,75.26,EUR,
150,07.01.2023 06:00 - 07.01.2023 07:00,77.82,EUR,
151,07.01.2023 07:00 - 07.01.2023 08:00,75.97,EUR,
152,07.01.2023 08:00 - 07.01.2023 09:00,79.98,EUR,
153,07.01.2023 09:00 - 07.01.2023 10:00,97.1,EUR,
154,07.01.2023 10:00 - 07.01.2023 11:00,97.6,EUR,
155,07.01.2023 11:00 - 07.01.2023 12:00,86.2,EUR,
156,07.01.2023 12:00 - 07.01.2023 13:00,85.79,EUR,
157,07.01.2023 13:00 - 07.01.2023 14:00,91.79,EUR,
158,07.01.2023 14:00 - 07.01.2023 15:00,80.51,EUR,
159,07.01.2023 15:00 - 07.01.2023 16:00,78.94,EUR,
160,07.01.2023 16:00 - 07.01.2023 17:00,79.93,EUR,
161,07.01.2023 17:00 - 07.01.2023 18:00,78.68,EUR,
162,07.01.2023 18:00 - 07.01.2023 19:00,78.38,EUR,
163,07.01.2023 19:00 - 07.01.2023 20:00,74.39,EUR,
164,07.01.2023 20:00 - 07.01.2023 21:00,66.98,EUR,
165,07.01.2023 21:00 - 07.01.2023 22:00,59.99,EUR,
166,07.01.2023 22:00 - 07.01.2023 23:00,48.8,EUR,
167,07.01.2023 23:00 - 08.01.2023 00:00,35.9,EUR,
168,08.01.2023 00:00 - 08.01.2023 01:00,24.44,EUR,
169,08.01.2023 01:00 - 08.01.2023 02:00,9.3,EUR,
170,08.01.2023 02:00 - 08.01.2023 03:00,9.1,EUR,
171,08.01.2023 03:00 - 08.01.2023 04:00,4.16,EUR,
172,08.01.2023 04:00 - 08.01.2023 05:00,5.58,EUR,
173,08.01.2023 05:00 - 08.01.2023 06:00,9.92,EUR,
174,08.01.2023 06:00 - 08.01.2023 07:00,9.02,EUR,
175,08.01.2023 07:00 - 08.01.2023 08:00,16.47,EUR,
176,08.01.2023 08:00 - 08.01.2023 09:00,27.08,EUR,
177,08.01.2023 09:00 - 08.01.2023 10:00,29.08,EUR,
178,08.01.2023 10:00 - 08.01.2023 11:00,35.22,EUR,
179,08.01.2023 11:00 - 08.01.2023 12:00,47.0,EUR,
